Solver,Time
SCIP-MIP,3.8581470630000467
SCIP-MIP,3.5752786129999095
SCIP-MIP,3.603307506999954
SCIP-MIP,3.536404688999937
SCIP-MIP,3.4529320990000087
SCIP-MIP,3.442882532999988
SCIP-MIP,3.4525216939999837
SCIP-MIP,3.4275145199999315
SCIP-MIP,3.439606304999984
SCIP-MIP,3.4175018260000343
SCIP-BRANCH-AND-BOUND,0.005583196999964457
SCIP-BRANCH-AND-BOUND,0.005302468999957455
SCIP-BRANCH-AND-BOUND,0.006351053999992473
SCIP-BRANCH-AND-BOUND,0.005498354999986077
SCIP-BRANCH-AND-BOUND,0.00597129599998425
SCIP-BRANCH-AND-BOUND,0.005276653000009901
SCIP-BRANCH-AND-BOUND,0.004941328000086287
SCIP-BRANCH-AND-BOUND,0.005815374000007978
SCIP-BRANCH-AND-BOUND,0.005923425999981191
SCIP-BRANCH-AND-BOUND,0.005491174999974646
DYNAMIC-PROGRAMMING,0.005849990000001526
DYNAMIC-PROGRAMMING,0.0054377349999867874
DYNAMIC-PROGRAMMING,0.0044511799999327195
DYNAMIC-PROGRAMMING,0.006009110000036344
DYNAMIC-PROGRAMMING,0.004603774000088379
DYNAMIC-PROGRAMMING,0.004626488999974754
DYNAMIC-PROGRAMMING,0.005175760999918566
DYNAMIC-PROGRAMMING,0.005761258999996244
DYNAMIC-PROGRAMMING,0.005190803000004962
DYNAMIC-PROGRAMMING,0.0047202480000123614
DIVIDE-AND-CONQUER,0.005766240000070866
DIVIDE-AND-CONQUER,0.00452536099999179
DIVIDE-AND-CONQUER,0.00471945100002813
DIVIDE-AND-CONQUER,0.004723396999906981
DIVIDE-AND-CONQUER,0.0050194079999528185
DIVIDE-AND-CONQUER,0.004419653000013568
DIVIDE-AND-CONQUER,0.005852570000001833
DIVIDE-AND-CONQUER,0.0056461620000618495
DIVIDE-AND-CONQUER,0.005207695999956741
DIVIDE-AND-CONQUER,0.005942364999896199
BRUTE-FORCE,0.004675216000009641
BRUTE-FORCE,0.004459546000020964
BRUTE-FORCE,0.0057306090000111
BRUTE-FORCE,0.0042276980000224285
BRUTE-FORCE,0.004419661000042652
BRUTE-FORCE,0.004892684000083136
BRUTE-FORCE,0.00549265999995896
BRUTE-FORCE,0.004215047999991839
BRUTE-FORCE,0.004535947000022134
BRUTE-FORCE,0.006203208999977505
64-ITEMS,0.005336471999953574
64-ITEMS,0.006435509000084494
64-ITEMS,0.005159263999985342
64-ITEMS,0.005462023999939447
64-ITEMS,0.006790939999973489
64-ITEMS,0.006025047999969502
64-ITEMS,0.006922806000034143
64-ITEMS,0.0075827320000598775
64-ITEMS,0.00752860900001906
64-ITEMS,0.0066341629999442375
HEURISTIC,0.003445519000024433
HEURISTIC,0.003743658999951549
HEURISTIC,0.0038485839999111704
HEURISTIC,0.0038716280000699044
HEURISTIC,0.003262134999999944
HEURISTIC,0.00475372799996876
HEURISTIC,0.0030847239999047815
HEURISTIC,0.0028655229999685616
HEURISTIC,0.0032616649999681613
HEURISTIC,0.002695290000019668
